Nimi;Name;longitude;latitude
Hakuninmaa;Hakuninmaa;24.8970699;60.25296715
Kuninkaantammi;Kuninkaantammi;24.8927574;60.25925605
Kalannintie;Kalannintie;24.88410754;60.25280663
Kannelmäen liikuntapuisto;Kannelmäen liikuntapuisto;24.8788005;60.24374634
Pajupillintie;Pajupillintie;24.88610263;60.2432353
Kauppakeskus Kaari;Shopping Center Kaari;24.88947967;60.23633055
Kaustisentie;Kaustisentie;24.88145171;60.23780652
Kannelmäen asema;Kannelmäki railway station;24.87664725;60.23934599
Savela;Savela;24.99138726;60.24049485
Trumpettikuja;Trumpettikuja;24.86911;60.23915611
Viljelijäntie;Viljelijäntie;24.85729796;60.24323344
Malminkartanon asema;Malminkartano railway station;24.86311564;60.24781786
Tuohipolku;Tuohipolku;24.85743226;60.25156469
Honkasuo;Honkasuo;24.84658097;60.25555748
Malminkartanonhuippu;Malminkartano Hill;24.84864869;60.25040779
Hankasuontie;Hankasuontie;24.84758603;60.24474377
Ajomiehentie;Ajomiehentie;24.85129051;60.2388821
Vähäntuvantie;Vähäntuvantie;24.84616505;60.23245103
Kuusisaari;Kuusisaari;24.8567966;60.18450834
Koivusaari (M);Koivusaari metro station;24.85516427;60.16338631
Bermudankuja;Välimerenkatu;24.91014211;60.15490426
Verkkosaari;Verkkosaari;24.97754808;60.18955618
Sompasaari;Sompasaari;24.97607582;60.18293082
Jollas;Jollas;25.06166787;60.16440749
Rillitori;Rillitori;25.05157973;60.29302665
Männistönpolku;Männistönpolku;25.04242613;60.29321587
Tikkurilan asema;Tikkurila station;25.04458705;60.29477473
Tikkuraitti;Tikkuraitti;25.03641074;60.29341272
Maalitori;Maalitori;25.04495162;60.29186336
Virnatie;Virnatie;25.03328592;60.28782879
Peltolantori;Peltolantori;25.02994989;60.29356472
Kurjenpolvenpuisto;Kurjenpolvenpuisto;25.01870796;60.29402567
Tikkurilan urheilupuisto;Tikkurila sports park;25.02842719;60.29961027
Suopursunaukio;Suopursunaukio;25.04187038;60.29948549
Hiekkaharjun liikuntapuisto;Hiekkaharju sports park;25.05484439;60.30091863
Jokiniemenkatu;Jokiniemenkatu;25.05016499;60.29823754
Liljatie;Liljatie;25.02201217;60.29109765
Puutarhatie;Puutarhatie;25.00645595;60.29216022
